Année;Trimestre;Population;Accroissement_total;Accroissement_naturel;Naissances;      Décès;Accroissement migratoire;Solde migratoire;Immigrants;Émigrants nets;Solde des résidents non permanents;Solde migratoire interprovincial;Écart résiduel
2001;T1;7373978;9866;3165;17990;14825;6669;8287;8097;1640;1830;-1618;32
2001;T2;7383844;12170;6094;19418;13324;6538;10209;10733;1616;1092;-3671;-462
2001;T3;7396014;15070;6070;18855;12785;10019;11651;10058;3183;4776;-1632;-1019
2001;T4;7411084;6372;3998;17436;13438;3408;3576;8716;2086;-3054;-168;-1034
2002;T1;7417456;10183;2400;17689;15289;8740;9785;9762;956;979;-1045;-957
2002;T2;7427639;13666;5245;18616;13371;9407;10912;10578;622;956;-1505;-986
2002;T3;7441305;14243;5533;18908;13375;9715;10956;9405;2251;3802;-1241;-1005
2002;T4;7455548;5614;3552;17265;13713;3069;2373;7836;1683;-3780;696;-1007
2003;T1;7461162;10301;2858;17177;14319;8423;8771;7488;1239;2522;-348;-980
2003;T2;7471463;14025;5278;18930;13652;9752;10688;10184;1099;1603;-936;-1005
2003;T3;7485488;17995;6891;19850;12959;12131;11153;11870;1680;963;978;-1027
2003;T4;7503483;6735;3917;17959;14042;3847;3762;10018;1792;-4464;85;-1029
2004;T1;7510218;9891;1987;17748;15761;8938;9235;10343;1740;632;-297;-1034
2004;T2;7520109;15374;5178;18825;13647;11225;12813;12330;1462;1945;-1588;-1029
2004;T3;7535483;18095;7361;19679;12318;11751;12211;12420;1945;1736;-460;-1017
2004;T4;7553578;5998;3928;17816;13888;3116;3743;9159;1912;-3504;-627;-1046
2005;T1;7559576;7701;1841;17941;16100;6874;7702;9345;1530;-113;-828;-1014
2005;T2;7567277;14190;6362;19974;13612;8821;11869;12496;1597;970;-3048;-993
2005;T3;7581467;17413;7662;20335;12673;10747;12154;13048;1915;1021;-1407;-996
2005;T4;7598880;5348;4488;18091;13603;1887;3760;8426;1850;-2816;-1873;-1027
2006;T1;7604228;11268;5671;19483;13812;6603;8734;9104;1804;1434;-2131;-1006
2006;T2;7615496;16405;7100;20575;13475;9229;13229;11421;1683;3491;-4000;76
2006;T3;7631901;20980;8676;21729;13053;11160;14428;13940;429;917;-3268;1144
2006;T4;7652881;8320;6081;20175;14094;1104;3533;10217;1527;-5157;-2429;1135
2007;T1;7661201;12737;4209;19791;15582;7340;9843;9362;1208;1689;-2503;1188
2007;T2;7673938;18462;7515;21445;13930;9737;14402;11550;1277;4129;-4665;1210
2007;T3;7692400;20216;9447;22499;13052;9552;13068;13893;2039;1214;-3516;1217
